Ergebnisse der Landtagswahl vom 23. April 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Code;Region;Wahlberechtigte;abgegebene Stimmen;;;;;Parteistimmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;gesamt;;ungültig;;gültig;ÖVP;;SPÖ;;FPÖ;;GRÜNE;;NEOS;;KPÖ;;WIRS;;MFG;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Staat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50213;Bad Vigaun;1.568;1.224;78,1%;29;2,4%;1.195;311;26,0%;216;18,1%;395;33,1%;89;7,4%;46;3,8%;99;8,3%;30;2,5%;9;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
50301;Anif;3.045;2.227;73,1%;50;2,2%;2.177;793;36,4%;274;12,6%;440;20,2%;252;11,6%;103;4,7%;282;13,0%;25;1,1%;8;0,4%;;;;;;;;;;;;;;;;;;;;;;;;;
50302;Anthering;2.839;2.172;76,5%;49;2,3%;2.123;703;33,1%;231;10,9%;518;24,4%;240;11,3%;73;3,4%;295;13,9%;39;1,8%;24;1,1%;;;;;;;;;;;;;;;;;;;;;;;;;
50303;Bergheim;3.905;2.893;74,1%;51;1,8%;2.842;968;34,1%;360;12,7%;606;21,3%;318;11,2%;133;4,7%;395;13,9%;43;1,5%;19;0,7%;;;;;;;;;;;;;;;;;;;;;;;;;
50304;Berndorf bei Salzburg;1.373;1.018;74,1%;23;2,3%;995;421;42,3%;142;14,3%;254;25,5%;49;4,9%;27;2,7%;74;7,4%;20;2,0%;8;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
50305;Bürmoos;3.565;2.342;65,7%;38;1,6%;2.304;314;13,6%;745;32,3%;621;27,0%;208;9,0%;87;3,8%;281;12,2%;22;1,0%;26;1,1%;;;;;;;;;;;;;;;;;;;;;;;;;
50306;Dorfbeuern;1.188;900;75,8%;18;2,0%;882;336;38,1%;101;11,5%;234;26,5%;56;6,3%;52;5,9%;62;7,0%;40;4,5%;1;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;
50307;Ebenau;1.091;877;80,4%;13;1,5%;864;319;36,9%;127;14,7%;239;27,7%;70;8,1%;26;3,0%;74;8,6%;7;0,8%;2;0,2%;;;;;;;;;;;;;;;;;;;;;;;;;
50308;Elixhausen;2.320;1.729;74,5%;40;2,3%;1.689;585;34,6%;229;13,6%;336;19,9%;176;10,4%;86;5,1%;240;14,2%;20;1,2%;17;1,0%;;;;;;;;;;;;;;;;;;;;;;;;;
50309;Elsbethen;4.121;3.124;75,8%;39;1,2%;3.085;1.028;33,3%;392;12,7%;625;20,3%;375;12,2%;167;5,4%;444;14,4%;35;1,1%;19;0,6%;;;;;;;;;;;;;;;;;;;;;;;;;
50310;Eugendorf;5.362;3.867;72,1%;71;1,8%;3.796;1.192;31,4%;565;14,9%;1.017;26,8%;345;9,1%;164;4,3%;407;10,7%;89;2,3%;17;0,4%;;;;;;;;;;;;;;;;;;;;;;;;;
50311;Faistenau;2.354;1.908;81,1%;50;2,6%;1.858;605;32,6%;197;10,6%;660;35,5%;109;5,9%;61;3,3%;178;9,6%;19;1,0%;29;1,6%;;;;;;;;;;;;;;;;;;;;;;;;;
50312;Fuschl am See;1.114;837;75,1%;14;1,7%;823;337;40,9%;96;11,7%;199;24,2%;81;9,8%;40;4,9%;60;7,3%;5;0,6%;5;0,6%;;;;;;;;;;;;;;;;;;;;;;;;;
50313;Göming;599;491;82,0%;9;1,8%;482;209;43,4%;50;10,4%;114;23,7%;50;10,4%;19;3,9%;29;6,0%;6;1,2%;5;1,0%;;;;;;;;;;;;;;;;;;;;;;;;;
50314;Grödig;5.009;3.547;70,8%;71;2,0%;3.476;846;24,3%;697;20,1%;873;25,1%;343;9,9%;161;4,6%;484;13,9%;39;1,1%;33;0,9%;;;;;;;;;;;;;;;;;;;;;;;;;
50315;Großgmain;1.752;1.315;75,1%;18;1,4%;1.297;350;27,0%;153;11,8%;474;36,5%;109;8,4%;61;4,7%;134;10,3%;6;0,5%;10;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
