Ergebnisse der Landtagswahl vom 23. April 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Code;Region;Wahlberechtigte;abgegebene Stimmen;;;;;Parteistimmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;gesamt;;ungültig;;gültig;ÖVP;;SPÖ;;FPÖ;;GRÜNE;;NEOS;;KPÖ;;WIRS;;MFG;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Staat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50509;St. Michael im Lungau;2.668;2.106;78,9%;30;1,4%;2.076;722;34,8%;407;19,6%;701;33,8%;72;3,5%;53;2,6%;86;4,1%;27;1,3%;8;0,4%;;;;;;;;;;;;;;;;;;;;;;;;;
50510;Tamsweg;4.370;3.241;74,2%;79;2,4%;3.162;982;31,1%;498;15,7%;1.168;36,9%;140;4,4%;91;2,9%;214;6,8%;49;1,5%;20;0,6%;;;;;;;;;;;;;;;;;;;;;;;;;
50511;Thomatal;277;223;80,5%;3;1,3%;220;72;32,7%;26;11,8%;93;42,3%;11;5,0%;9;4,1%;7;3,2%;2;0,9%;0;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;
50512;Tweng;168;118;70,2%;1;0,8%;117;52;44,4%;10;8,5%;37;31,6%;4;3,4%;8;6,8%;2;1,7%;3;2,6%;1;0,9%;;;;;;;;;;;;;;;;;;;;;;;;;
50513;Unternberg;818;668;81,7%;18;2,7%;650;246;37,8%;96;14,8%;212;32,6%;21;3,2%;21;3,2%;30;4,6%;18;2,8%;6;0,9%;;;;;;;;;;;;;;;;;;;;;;;;;
50514;Weißpriach;241;186;77,2%;6;3,2%;180;71;39,4%;43;23,9%;47;26,1%;6;3,3%;2;1,1%;6;3,3%;4;2,2%;1;0,6%;;;;;;;;;;;;;;;;;;;;;;;;;
50515;Zederhaus;945;772;81,7%;14;1,8%;758;300;39,6%;53;7,0%;327;43,1%;17;2,2%;8;1,1%;27;3,6%;17;2,2%;9;1,2%;;;;;;;;;;;;;;;;;;;;;;;;;
50601;Bramberg am Wildkogel;3.194;2.389;74,8%;67;2,8%;2.322;872;37,6%;433;18,6%;724;31,2%;79;3,4%;50;2,2%;129;5,6%;17;0,7%;18;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
50602;Bruck an der Großglocknerstraße;3.480;2.360;67,8%;60;2,5%;2.300;720;31,3%;485;21,1%;657;28,6%;117;5,1%;80;3,5%;197;8,6%;26;1,1%;18;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
50603;Dienten am Hochkönig;589;493;83,7%;9;1,8%;484;209;43,2%;112;23,1%;123;25,4%;9;1,9%;15;3,1%;11;2,3%;3;0,6%;2;0,4%;;;;;;;;;;;;;;;;;;;;;;;;;
50604;Fusch an der Großglocknerstraße;521;398;76,4%;9;2,3%;389;193;49,6%;55;14,1%;78;20,1%;27;6,9%;9;2,3%;25;6,4%;2;0,5%;0;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;
50605;Hollersbach im Pinzgau;944;713;75,5%;17;2,4%;696;265;38,1%;130;18,7%;215;30,9%;26;3,7%;21;3,0%;22;3,2%;2;0,3%;15;2,2%;;;;;;;;;;;;;;;;;;;;;;;;;
50606;Kaprun;1.944;1.427;73,4%;24;1,7%;1.403;471;33,6%;454;32,4%;269;19,2%;68;4,8%;44;3,1%;87;6,2%;2;0,1%;8;0,6%;;;;;;;;;;;;;;;;;;;;;;;;;
50607;Krimml;602;488;81,1%;17;3,5%;471;171;36,3%;93;19,7%;152;32,3%;22;4,7%;9;1,9%;18;3,8%;2;0,4%;4;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
50608;Lend;954;718;75,3%;12;1,7%;706;218;30,9%;219;31,0%;176;24,9%;13;1,8%;23;3,3%;41;5,8%;10;1,4%;6;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
50609;Leogang;2.519;1.962;77,9%;71;3,6%;1.891;760;40,2%;404;21,4%;406;21,5%;102;5,4%;90;4,8%;94;5,0%;27;1,4%;8;0,4%;;;;;;;;;;;;;;;;;;;;;;;;;
50610;Lofer;1.483;1.087;73,3%;23;2,1%;1.064;447;42,0%;148;13,9%;260;24,4%;52;4,9%;47;4,4%;88;8,3%;18;1,7%;4;0,4%;;;;;;;;;;;;;;;;;;;;;;;;;
50611;Maishofen;2.554;1.921;75,2%;44;2,3%;1.877;740;39,4%;352;18,8%;446;23,8%;113;6,0%;63;3,4%;119;6,3%;31;1,7%;13;0,7%;;;;;;;;;;;;;;;;;;;;;;;;;
50612;Maria Alm am Steinernen Meer;1.521;1.130;74,3%;28;2,5%;1.102;455;41,3%;141;12,8%;305;27,7%;66;6,0%;41;3,7%;70;6,4%;15;1,4%;9;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
50613;Mittersill;3.839;2.633;68,6%;54;2,1%;2.579;826;32,0%;498;19,3%;911;35,3%;127;4,9%;59;2,3%;124;4,8%;17;0,7%;17;0,7%;;;;;;;;;;;;;;;;;;;;;;;;;
50614;Neukirchen am Großvenediger;1.999;1.460;73,0%;40;2,7%;1.420;494;34,8%;270;19,0%;469;33,0%;55;3,9%;42;3,0%;69;4,9%;11;0,8%;10;0,7%;;;;;;;;;;;;;;;;;;;;;;;;;
50615;Niedernsill;2.083;1.564;75,1%;54;3,5%;1.510;507;33,6%;247;16,4%;515;34,1%;62;4,1%;41;2,7%;92;6,1%;22;1,5%;24;1,6%;;;;;;;;;;;;;;;;;;;;;;;;;
50616;Piesendorf;2.869;2.063;71,9%;47;2,3%;2.016;726;36,0%;329;16,3%;592;29,4%;113;5,6%;68;3,4%;157;7,8%;22;1,1%;9;0,4%;;;;;;;;;;;;;;;;;;;;;;;;;
50617;Rauris;2.417;1.748;72,3%;50;2,9%;1.698;737;43,4%;257;15,1%;460;27,1%;50;2,9%;57;3,4%;113;6,7%;14;0,8%;10;0,6%;;;;;;;;;;;;;;;;;;;;;;;;;
50618;Saalbach-Hinterglemm;1.900;1.379;72,6%;23;1,7%;1.356;698;51,5%;128;9,4%;372;27,4%;39;2,9%;54;4,0%;53;3,9%;9;0,7%;3;0,2%;;;;;;;;;;;;;;;;;;;;;;;;;
50619;Saalfelden am Steinernen Meer;11.892;7.945;66,8%;172;2,2%;7.773;1.978;25,4%;1.963;25,3%;2.002;25,8%;638;8,2%;305;3,9%;663;8,5%;146;1,9%;78;1,0%;;;;;;;;;;;;;;;;;;;;;;;;;
50620;St. Martin bei Lofer;842;670;79,6%;25;3,7%;645;260;40,3%;122;18,9%;147;22,8%;44;6,8%;19;2,9%;40;6,2%;8;1,2%;5;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
50621;Stuhlfelden;1.260;992;78,7%;26;2,6%;966;300;31,1%;164;17,0%;380;39,3%;28;2,9%;21;2,2%;54;5,6%;15;1,6%;4;0,4%;;;;;;;;;;;;;;;;;;;;;;;;;
50622;Taxenbach;2.063;1.525;73,9%;27;1,8%;1.498;551;36,8%;328;21,9%;402;26,8%;61;4,1%;37;2,5%;91;6,1%;14;0,9%;14;0,9%;;;;;;;;;;;;;;;;;;;;;;;;;
50623;Unken;1.421;1.102;77,6%;25;2,3%;1.077;342;31,8%;154;14,3%;384;35,7%;55;5,1%;40;3,7%;77;7,1%;15;1,4%;10;0,9%;;;;;;;;;;;;;;;;;;;;;;;;;
50624;Uttendorf;2.284;1.628;71,3%;29;1,8%;1.599;405;25,3%;359;22,5%;525;32,8%;55;3,4%;66;4,1%;153;9,6%;22;1,4%;14;0,9%;;;;;;;;;;;;;;;;;;;;;;;;;
50625;Viehhofen;417;316;75,8%;3;0,9%;313;116;37,1%;43;13,7%;104;33,2%;13;4,2%;12;3,8%;23;7,3%;1;0,3%;1;0,3%;;;;;;;;;;;;;;;;;;;;;;;;;
50626;Wald im Pinzgau;854;635;74,4%;11;1,7%;624;254;40,7%;99;15,9%;197;31,6%;23;3,7%;25;4,0%;15;2,4%;9;1,4%;2;0,3%;;;;;;;;;;;;;;;;;;;;;;;;;
50627;Weißbach bei Lofer;298;221;74,2%;5;2,3%;216;99;45,8%;32;14,8%;52;24,1%;11;5,1%;3;1,4%;11;5,1%;4;1,9%;4;1,9%;;;;;;;;;;;;;;;;;;;;;;;;;
50628;Zell am See;6.197;4.012;64,7%;74;1,8%;3.938;1.164;29,6%;988;25,1%;1.021;25,9%;242;6,1%;191;4,9%;266;6,8%;33;0,8%;33;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quelle: Landesstatistik Salzburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
