F_CODE;GLOBALID;GLOBALID_ALT
2324;{622146B8-D425-4ADB-B65B-C9798725A9F2};{D1DF59CE-4798-4C9B-A4FD-1DB72EE78FAD}
2324;{19D711C7-F1F3-4579-B934-B6F1A06054B2};{538B0FD7-A85D-42D4-B3DE-BF0FC69CDD96}
2324;{94DB5A47-F0AF-4B8B-BBAF-69BE2B92831C};{10284605-FE3A-4063-8A00-33C34153D89E}
2324;{C20500D8-083E-4C85-B402-1CFC6CE043B5};{44BC42EC-446F-4F60-8799-92FD2F3B3E07}
2324;{8C952BCB-3F9B-4AA3-83B5-D29A2CF70809};{52D2F4E8-5E1E-4AF8-B80E-2942787A1140}
2324;{AAEE20AB-C063-4791-A2DA-7AC2EF296DF5};{CFC40A3D-05C4-4C4C-B751-FB9DF437CCF0}
2324;{480DB6F2-9F4F-4FE7-91CA-95A126BA6F0D};{F043501E-83E7-47BF-A3A7-8694E8FAA210}
2324;{4AE291D4-0356-487D-84AB-462FDC5AF0EA};{A5DD49F6-2B2C-4CD8-9BE0-34DCF012F37A}
2324;{23DF52AC-DA78-4F7B-B359-92D4C967B753};{95E31372-44AE-4D9C-A29E-8621F8D310D1}
2324;{525A7EF3-92EA-49AC-A4CA-16F28BBEF4A2};{64447980-7A40-4CE5-A803-6FDFD371A418}
2324;{CF4C1D67-618F-4B89-9C36-7DE3904BF856};{73AC381B-5379-4C61-9795-88DFCB093004}
2324;{25B1A4FB-2F0F-4FFA-AF31-26EAA145A759};{AF6FE81E-FB84-4FB7-B028-E099E9DD4A1E}
2324;{3E5C2E66-E29C-4C6C-8E96-52711E9C8270};{07DBCD11-176D-4456-883B-57380D900E5C}
2324;{25DD950A-1F40-4DA6-BBE0-EE00604442BD};{397CFA10-4A06-4C09-AFA8-6A49DAF55D58}
2324;{7DC9DF51-7493-4D3F-BDCC-669F88643F2D};{787ADF88-E249-4168-8EA6-3970E0ACACAF}
2324;{15E3FDF5-CF22-40D1-B1DD-1164C7062796};{4121887C-FA14-4AC9-8B44-0F03C1DA88D7}
2324;{4C9BAF4A-0FCA-4BB4-A281-48EFEDE57BCF};{ED0D334C-EB16-4EA7-BD3E-BE9377954225}
2324;{E9D397A7-8B48-49CF-AC3F-340400B41536};{8104D95F-F21A-431B-B7FE-157D16FD0B8D}
2324;{B69C40E7-28D3-44CA-A2DE-7586B581508D};{A11A2667-8285-4F9C-814A-59BC4AEC42C0}
2324;{65B7EF65-B68E-4E42-AEF3-AD0F02B0F1B7};{9BA6AD8A-4890-41CA-AA00-62CC8A07DF31}
2324;{390BBF31-F07D-4336-A345-50537A5C5A9E};{E7002325-7E96-40F2-AD72-7DDDDECA47D8}
