F_CODE;GLOBALID;GLOBALID_ALT
2215;{F1508A07-65F4-4C51-9A71-1E786D3E3C35};{3C1A1C1F-7319-44D5-B97A-E7EEA9151F08}
2202;{1874CBFC-9A8E-4520-BF0F-AF2C1C0D006E};{161356F1-9C91-4BD4-BB4D-30B7531E425E}
2215;{D7AF037E-F61B-4B6C-A496-89E4732271B0};{267BBE8E-D522-421B-B073-7C5DAD62FF08}
2215;{A52CB320-8E37-48D4-8D2B-B889C61081F9};{EB33C23A-20D9-4AAE-8193-14D08663540A}
2217;{76D1BE03-E315-4863-B22E-F6984E0B60FF};{B9C5EFFB-ACC7-4EBF-8655-AF1174EE1B49}
2217;{C7C9EB40-D929-4874-B45F-845DE9C83B8D};{CCAE35DE-3FFD-4261-BC03-6DF9E79B2A5F}
2215;{BB68E7BB-F1EC-4C23-9993-5EDDDB1AE2D6};{6ABAD8CC-7653-4BA7-93E6-252C95FAE12B}
2202;{6DF70409-283E-4A70-8504-D2D664FD0653};{38979D25-4817-492C-9F8E-DDB49C28335D}
2215;{0BE4DA44-5E6C-4AB7-9B30-7E7878346E0E};{45ACD803-9366-4A39-81BD-09456DB7C0CA}
2215;{D16FBB97-3BF8-4275-8F10-CD5FCD674B92};{FE948224-F8EE-4AD9-A3B5-54C32A4247C9}
2217;{7EAF6559-C603-4932-9458-E89EA5E9AC59};{6AA01453-29E5-40B0-8E9D-C5B67F082BB8}
2202;{C0D40FAF-DE36-46C8-B354-608F831E1337};{D07C8ED7-CBB8-4FA6-B250-DAB686DB5F2B}
2217;{256D9DF4-58D5-4465-81D1-DF3CCFFAD493};{D9CA00C9-5A01-4D14-8AEB-2F15EA314097}
2215;{23FB33B8-DB0D-4D6F-A150-F9B75AE199BB};{48F62EF0-4DF3-4C15-A592-DEB2F2355B8B}
2215;{B055F0AB-8227-4CB5-830B-EA7FEC645D77};{2EABD593-5157-4651-BC36-2FAB5BFBC453}
2217;{3E0C15E7-74C9-4473-85C3-15B70879B096};{2ECD7635-7ED5-4A9A-9E83-3BB127763AC4}
2217;{1A245621-B2AE-4E65-AE44-35C042DD7B35};{022FD1DC-F693-431E-AC8D-C5B0874D206F}
2202;{BA62E881-03E0-469D-A6FF-F7DABE8021AB};{CCF75A1D-3739-4AE7-8330-860D6DF33ADF}
2202;{609483AA-4A01-424F-A865-7C357BB9324B};{F78231C0-8387-4167-973E-C266F46AFBF8}
2215;{51E7C054-B0F4-481E-B4A1-8088AA7F5FA0};{1F9331AE-4951-4D86-900B-F5DC2F05263E}
2217;{C5AA68AA-4646-4A1F-8870-1D675A271670};{101FE852-64EC-4DB6-81EA-4B30D1483A7A}
2202;{A20EDC05-7C81-4D3F-9A16-55E00DC0E599};{7FFEC2B3-1743-4FF4-86A7-6967C4B7396F}
2202;{0FEDE535-6830-4AD5-B266-AC8BA664146D};{3B4DDE72-6145-4F66-BBA1-BD191D6F3E3B}
2202;{3D08C42D-15EA-4851-8B51-0CBF6ADB1C84};{5FA7D673-9EB9-41A2-A7CD-EF5C8780DC66}
