F_CODE;GLOBALID;GLOBALID_ALT
2801;{F6310827-5CCF-4D7D-B6E7-BE1D125E4538};{361CFF21-E43C-48A2-85C0-8BA79D70DE51}
2801;{4ABCEDF1-31D5-4AD0-9C42-958D9D5DD8B6};{9C4446BC-1A94-42BD-84EE-92D03EB1D276}
2801;{6AAFAF34-A156-48F6-9621-3325E385353B};{50BFBB99-33BB-4F08-83A0-1FB8E1A5ACF5}
2801;{F9A268D0-AEDF-4ACE-9740-1B7B5007A771};{29302B27-BCCC-4A3E-9F60-DBEDBDD7AB39}
2801;{B933F3FE-5992-4BA8-B7C5-F7C03D0004E9};{576D0A20-D0F6-48EC-87AF-E8600E30DE77}
2801;{65B7E4B8-D3EC-4FC0-8A9D-16EBEF2D3369};{D3F5B778-BE23-4220-A7B7-1E71F6E5423C}
2801;{392F40B6-93CE-45B6-A44F-6DC9366A53AA};{ED02E7FE-D4B8-478A-A25B-27CD41891432}
2801;{174CF500-0F4A-409D-B0EA-FEF69F86B2EA};{E14DCC93-D3B8-4FA3-9F3C-8DDF34E77CFF}
2801;{3F1FD530-806E-4672-AB81-9FF9135138F0};{9B900E22-E3EE-4821-A751-547022660427}
2801;{82338816-09F2-4A54-AFC3-C379038C8EC5};{84538629-46AA-4EB2-A7FF-AAAC3632CFFA}
2801;{B5E9C627-D29D-4F96-A90B-816FE58F025B};{4955C578-8B82-4181-B76D-2AE135FB6831}
2801;{801E49FE-EFF5-4096-A6E8-AF451EA7D661};{544F4F34-1C1C-41C9-A3D1-3ABC516C2B9B}
2801;{E1E8306A-8BB4-45B8-A3AF-C4127A30777D};{B7EBC7CD-3615-4EAF-A5A4-B15007CBFE7D}
2801;{1D6A4CC5-41E5-4C31-B07F-2BFD0FE81C15};{6259A42D-4E53-4A3F-98EB-819558A49F51}
2801;{4D1773E3-930E-4C68-9D65-E038F6295CB7};{B932EF1F-29D1-4F24-B280-9A1E09A7D640}
2801;{BA0DD615-575E-48D7-B4C9-28EEC64C8392};{7D5C656B-0F2E-4850-A83E-B66FDDAA8E9C}
2801;{E5BE81D6-524B-4468-AE04-BFAAA8BB7A1A};{E4C31D14-A4AD-47B1-9F28-2A97AFF3FCDA}
2801;{893ACBCB-C3AD-4BD5-A80A-D5A27A7E1DD1};{6C8B3815-E669-4015-A1D4-F8410B3E0CB7}
2801;{186B310C-B1D3-4D06-953E-06D34EE3EA8C};{A77E2918-BA66-40AB-B905-AC7D515B2279}
2801;{237BE0FB-A222-4F47-9B8F-B948B6B4115F};{13A25247-CD81-4C0D-B41D-C0876CD5637E}
2801;{7DAEC591-06F5-4A0D-A358-153B939B1F86};{D2079E7A-8F69-4213-BA45-1A72004ED563}
2801;{041B0989-B1C3-4048-9331-6E97A9FB2A67};{141C2BF9-AE8A-439B-854D-63B2F3F140A6}
2801;{58ED7B4C-8046-4406-AAEB-EFE89536E0EF};{13CB4238-5235-440D-A8E3-DBE83D502953}
2801;{F75231F7-7729-492D-B439-DC29E6C27E70};{FF2B05B4-69B6-407C-A5DE-577F7FCA2FD8}
2801;{564928A4-6392-4872-9C79-0D6CE823CB39};{8F7480B4-A65B-4381-80F1-93BDE7AC9184}
2801;{39C2DA3E-C9CC-49F3-BBDB-FAEEE6D1E1E7};{2203CD6A-A524-4B89-8B61-E696F0EDCEBE}
2801;{A6801556-70F0-42A7-8AA0-A57E4F9667D1};{1DAF2801-48D4-4396-B35D-BEF7FD432C2A}
